'Frame','Jitter'
'1352','0.128016'
'1353','0.160654'
'1354','0.129148'
'1355','0.12916'
'1356','0.127858'
'1357','0.128351'
'1358','0.136595'
'1359','0.12823'
'1360','0.127848'
'1361','0.160758'
'1362','0.128982'
'1363','0.129309'
'1364','0.193416'
'1365','0.100001'
'1366','0.100001'
'1367','0.127594'
'1368','0.127904'
'1369','0.128303'
'1370','0.160536'
'1371','0.129117'
'1372','0.127998'
'1373','0.128184'
'1374','0.127897'
'1375','0.132237'
'1376','0.12896'
'1377','0.159537'
'1378','0.127929'
'1379','0.128429'
'1380','0.127881'
'1381','0.128114'
'1382','0.128178'
'1383','0.13591'
'1384','0.128238'
'1385','0.161494'
'1386','0.128984'
'1387','0.128292'
'1388','0.12803'
'1389','0.127945'
'1390','0.12803'
'1391','0.132138'
'1392','0.160403'
'1393','0.128227'
'1394','0.128026'
'1395','0.128006'
'1396','0.128174'
'1397','0.128158'
'1398','0.168205'
'1399','0.1'
'1400','0.157232'
'1401','0.129158'
'1402','0.128135'
'1403','0.128197'
'1404','0.127934'
'1405','0.128028'
'1406','0.160555'
'1407','0.104211'
'1408','0.127842'
'1409','0.128347'
'1410','0.160423'
'1411','0.128163'
'1412','0.128025'
'1413','0.128147'
'1414','0.127957'
'1415','0.132959'
'1416','0.128119'
'1417','0.159651'
'1418','0.12794'
'1419','0.128274'
'1420','0.127914'
'1421','0.128244'
'1422','0.128006'
'1423','0.165524'
'1424','0.128839'
'1425','0.129176'
'1426','0.127976'
'1427','0.128255'
'1428','0.127704'
'1429','0.128109'
'1430','0.12858'
'1431','0.136926'
'1432','0.159341'
'1433','0.129074'
'1434','0.128275'
'1435','0.128027'
'1436','0.128117'
'1437','0.128031'
'1438','0.159476'
'1439','0.106084'
'1440','0.159783'
'1441','0.12946'
'1442','0.128043'
'1443','0.127951'
'1444','0.128198'
'1445','0.128017'
'1446','0.128332'
'1447','0.132933'
'1448','0.160172'
'1449','0.128218'
'1450','0.128094'
'1451','0.128181'
'1452','0.127952'
'1453','0.128093'
'1454','0.164269'
'1455','0.129381'
'1456','0.12809'
'1457','0.128078'
'1458','0.128043'
'1459','0.128149'
'1460','0.128138'
'1461','0.160485'
'1462','0.129052'
'1463','0.136908'
'1464','0.127823'
'1465','0.128185'
'1466','0.128186'
'1467','0.128015'
'1468','0.12785'
'1469','0.160899'
'1470','0.129103'
'1471','0.137918'
'1472','0.129098'
'1473','0.12817'
'1474','0.127887'
'1475','0.128337'
'1476','0.127894'
'1477','0.12834'
'1478','0.160356'
'1479','0.119262'
'1480','0.128123'
'1481','0.128083'
'1482','0.169535'
'1483','0.130015'
'1484','0.127291'
'1485','0.127921'
'1486','0.128274'
'1487','0.128375'
'1488','0.127851'
'1489','0.16627'
'1490','0.528071'
'1491','0.100001'
'1492','0.1'
'1493','0.100001'
'1494','0.100001'
'1495','0.1'
'1496','0.100001'
